packet_number,source_mac,ssid,has_vendor_specific,is_drone_id
1,00:11:32:a5:2f:c9,CBJR,true,false
2,22:11:32:a5:2f:c9,CBJRGuest,true,false
3,16:11:32:a5:2f:c9,,true,false
4,00:11:32:a5:2f:c9,CBJR,true,false
5,22:11:32:a5:2f:c9,CBJRGuest,true,false
6,16:11:32:a5:2f:c9,,true,false
7,00:11:32:a5:2f:c9,CBJR,true,false
8,22:11:32:a5:2f:c9,CBJRGuest,true,false
9,16:11:32:a5:2f:c9,,true,false
10,00:11:32:a5:2f:c9,CBJR,true,false
11,22:11:32:a5:2f:c9,CBJRGuest,true,false
12,16:11:32:a5:2f:c9,,true,false
14,00:11:32:a5:2f:c9,CBJR,true,false
15,22:11:32:a5:2f:c9,CBJRGuest,true,false
16,16:11:32:a5:2f:c9,,true,false
17,00:11:32:a5:2f:c9,CBJR,true,false
18,22:11:32:a5:2f:c9,CBJRGuest,true,false
19,16:11:32:a5:2f:c9,,true,false
20,00:11:32:a5:2f:c9,CBJR,true,false
21,22:11:32:a5:2f:c9,CBJRGuest,true,false
22,16:11:32:a5:2f:c9,,true,false
23,00:11:32:a5:2f:c9,CBJR,true,false
24,22:11:32:a5:2f:c9,CBJRGuest,true,false
25,16:11:32:a5:2f:c9,,true,false
26,00:11:32:a5:2f:c9,CBJR,true,false
27,22:11:32:a5:2f:c9,CBJRGuest,true,false
28,16:11:32:a5:2f:c9,,true,false
29,00:11:32:a5:2f:c9,CBJR,true,false
30,22:11:32:a5:2f:c9,CBJRGuest,true,false
31,16:11:32:a5:2f:c9,,true,false
32,00:11:32:a5:2f:c9,CBJR,true,false
33,22:11:32:a5:2f:c9,CBJRGuest,true,false
34,16:11:32:a5:2f:c9,,true,false
35,00:11:32:a5:2f:c9,CBJR,true,false
36,22:11:32:a5:2f:c9,CBJRGuest,true,false
37,16:11:32:a5:2f:c9,,true,false
38,00:11:32:a5:2f:c9,CBJR,true,false
39,22:11:32:a5:2f:c9,CBJRGuest,true,false
40,16:11:32:a5:2f:c9,,true,false
41,00:11:32:a5:2f:c9,CBJR,true,false
42,22:11:32:a5:2f:c9,CBJRGuest,true,false
43,16:11:32:a5:2f:c9,,true,false
46,00:11:32:a5:2f:c9,CBJR,true,false
47,22:11:32:a5:2f:c9,CBJRGuest,true,false
48,16:11:32:a5:2f:c9,,true,false
49,00:11:32:a5:2f:c9,CBJR,true,false
50,22:11:32:a5:2f:c9,CBJRGuest,true,false
51,16:11:32:a5:2f:c9,,true,false
52,00:11:32:a5:2f:c9,CBJR,true,false
53,22:11:32:a5:2f:c9,CBJRGuest,true,false
54,16:11:32:a5:2f:c9,,true,false
55,00:11:32:a5:2f:c9,CBJR,true,false
